ECG,EDA
509,0
507,0
507,0
507,0
506,0
508,0
509,0
510,0
512,0
513,0
516,0
515,0
515,0
515,0
515,0
516,0
513,0
513,0
512,0
511,0
512,0
512,0
511,0
511,0
509,0
510,0
510,0
512,0
512,0
511,0
513,0
515,0
518,0
517,0
517,0
517,0
518,0
516,0
515,0
514,0
513,0
511,0
511,0
510,0
510,0
510,0
509,0
512,0
512,0
513,0
513,0
512,0
513,0
512,0
512,0
512,0
512,0
512,0
511,0
511,0
512,0
510,0
508,0
506,0
505,0
508,0
510,0
509,0
511,0
511,0
512,0
511,0
513,0
514,0
517,0
518,0
517,0
516,0
515,0
514,0
514,0
512,0
511,0
508,0
507,0
508,0
508,0
508,0
511,0
512,0
514,0
514,0
516,0
516,0
517,0
516,0
512,0
510,0
510,0
510,0
510,0
510,0
511,0
509,0
509,0
510,0
511,0
512,0
511,0
511,0
511,0
511,0
512,0
513,0
514,0
514,0
514,0
513,0
511,0
511,0
512,0
510,0
509,0
509,0
508,0
509,0
510,0
511,0
513,0
512,0
515,0
515,0
515,0
516,0
516,0
516,0
516,0
516,0
515,0
513,0
512,0
512,0
512,0
511,0
510,0
511,0
511,0
512,0
513,0
512,0
514,0
514,0
516,0
516,0
518,0
518,0
519,0
517,0
516,0
514,0
514,0
512,0
513,0
512,0
510,0
510,0
512,0
512,0
513,0
513,0
515,0
517,0
519,0
518,0
516,0
515,0
515,0
513,0
511,0
509,0
510,0
509,0
509,0
508,0
507,0
508,0
508,0
510,0
512,0
510,0
512,0
511,0
512,0
512,0
512,0
513,0
512,0
512,0
511,0
508,0
509,0
508,0
507,0
508,0
507,0
509,0
510,0
511,0
511,0
511,0
514,0
515,0
517,0
516,0
518,0
517,0
515,0
513,0
511,0
509,0
509,0
508,0
509,0
508,0
508,0
509,0
509,0
511,0
512,0
514,0
515,0
513,0
514,0
513,0
515,0
518,0
518,0
516,0
515,0
513,0
513,0
512,0
510,0
510,0
508,0
508,0
508,0
508,0
509,0
510,0
510,0
511,0
515,0
516,0
516,0
515,0
514,0
512,0
512,0
511,0
509,0
510,0
509,0
509,0
508,0
508,0
509,0
513,0
515,0
516,0
518,0
517,0
517,0
516,0
516,0
516,0
514,0
513,0
514,0
512,0
513,0
511,0
510,0
510,0
507,0
509,0
509,0
510,0
