ECG,EDA
482,61
482,59
483,60
485,60
486,60
487,59
489,60
489,60
491,60
490,60
490,60
487,61
487,59
486,61
484,59
486,61
486,60
487,61
487,60
488,60
488,59
490,61
491,58
493,61
494,59
496,61
497,59
497,61
497,60
496,60
495,59
493,61
491,59
490,61
489,59
489,61
490,60
491,61
489,60
491,60
492,61
495,60
496,61
497,60
499,60
501,60
504,61
503,59
504,61
504,59
503,61
502,59
499,60
498,59
497,61
497,59
498,60
498,59
499,61
499,60
499,60
503,61
503,59
505,61
507,59
507,61
509,59
510,60
511,59
511,61
510,60
510,60
508,61
506,60
505,60
504,60
505,61
504,59
505,61
505,59
505,61
507,60
507,60
509,60
510,61
512,59
513,61
513,59
513,61
512,60
510,60
508,61
506,60
505,62
504,60
503,61
502,60
503,60
504,60
504,60
504,60
505,61
505,60
506,61
508,59
510,61
512,60
512,61
510,59
511,60
509,59
509,60
505,60
506,61
504,60
503,60
504,61
504,60
504,61
504,59
505,61
506,59
507,60
509,60
510,60
512,59
513,61
515,59
516,61
515,59
513,61
510,60
508,60
508,60
506,60
506,61
505,60
505,61
507,60
508,60
509,60
510,61
511,60
512,61
514,59
516,61
518,60
519,61
519,60
518,60
517,59
516,61
515,60
513,61
512,59
512,60
513,59
512,60
513,60
513,61
513,59
514,61
515,59
517,61
519,59
519,61
519,60
520,60
521,60
519,60
518,61
515,60
514,61
513,60
512,61
511,60
510,61
511,59
511,62
511,59
512,61
514,59
514,61
515,59
518,60
519,60
521,61
521,60
519,60
520,61
518,60
516,61
514,60
513,61
512,60
511,61
511,60
512,60
513,59
514,60
515,59
516,61
518,59
519,61
520,59
522,61
524,60
524,60
526,62
526,60
525,61
523,60
521,61
520,60
519,60
519,60
518,61
518,59
519,61
520,59
522,61
522,59
524,60
527,60
528,61
529,60
531,61
532,59
532,61
532,59
531,61
530,60
528,61
527,60
526,60
525,61
526,60
527,61
527,60
525,61
525,60
526,61
526,60
527,61
528,59
529,61
531,59
533,61
534,60
532,60
532,59
531,61
530,59
529,61
528,60
528,60
527,61
527,60
529,62
530,60
531,61
531,60
532,60
534,60
536,61
537,60
537,61
537,60
537,61
536,60
534,60
532,61
529,60
527,61
524,60
524,61
524,59
522,61
524,60
523,61
523,61
524,60
525,61
527,60
528,61
529,60
532,61
533,59
535,61
534,59
533,61
530,59
528,61
527,60
525,60
524,60
524,61
523,61
524,61
525,61
526,60
526,61
527,59
528,62
530,59
531,62
531,60
532,61
532,60
532,61
531,60
530,61
527,60
526,61
524,60
523,61
523,60
523,61
524,60
524,61
524,60
526,61
527,60
529,61
530,59
530,61
531,60
531,61
531,60
530,61
528,59
527,61
524,59
523,62
521,60
520,61
519,60
519,61
519,61
521,60
522,60
523,61
524,60
524,61
526,60
528,61
528,61
528,60
528,61
527,61
524,61
522,61
519,60
518,61
516,61
515,61
514,61
513,60
513,61
513,60
514,61
515,60
516,62
517,60
518,61
519,60
522,61
521,60
521,62
520,60
519,61
515,60
513,61
511,61
510,61
508,60
505,61
505,59
506,61
506,59
507,61
508,60
508,61
508,60
510,61
511,60
511,61
512,59
513,62
513,59
511,61
510,60
507,61
503,59
504,61
503,60
502,61
502,60
499,61
502,59
503,61
504,60
504,61
505,60
506,61
507,60
510,61
510,60
511,62
511,59
511,61
510,59
509,61
510,60
510,61
510,60
511,61
512,59
514,62
515,59
517,61
519,59
521,61
524,60
526,61
528,60
529,61
531,59
532,62
531,59
530,61
528,60
526,62
524,60
523,61
521,60
520,62
519,60
519,62
519,59
520,62
521,60
521,61
523,60
523,61
525,60
528,62
527,60
527,62
527,60
526,62
524,60
522,61
520,61
518,61
517,61
516,62
516,60
517,62
517,60
518,62
518,61
519,61
521,61
523,61
524,60
524,61
525,60
525,62
524,60
524,62
522,60
519,62
516,60
517,61
517,60
516,61
516,60
514,61
515,60
516,61
517,60
518,61
519,62
521,61
523,62
525,61
525,62
523,61
524,61
523,60
521,61
518,60
518,62
515,60
513,62
512,60
512,61
512,60
512,61
513,60
513,61
514,59
515,61
515,59
515,62
515,60
513,61
512,61
509,60
505,61
500,60
495,61
490,61
484,61
480,60
476,62
473,60
469,62
467,59
465,62
465,60
467,61
470,59
476,61
480,60
488,61
500,61
513,61
526,62
539,61
554,62
568,61
583,62
598,60
614,62
629,60
643,61
659,60
672,61
686,60
699,61
714,59
731,62
745,59
760,62
771,59
779,61
783,60
782,61
775,60
764,61
748,60
731,62
711,59
693,61
677,60
659,62
644,60
628,62
614,60
601,61
588,60
575,62
565,60
555,62
547,60
537,62
526,61
515,61
505,61
495,61
484,61
476,62
467,60
460,62
454,61
450,61
448,61
446,61
444,61
443,62
444,60
444,62
445,60
445,62
444,60
444,61
444,61
442,61
441,60
439,62
437,60
436,62
435,60
434,62
434,60
433,62
436,60
436,62
438,60
440,62
440,60
444,62
446,60
449,62
452,60
453,62
455,60
455,61
454,60
453,61
452,60
451,62
450,60
450,62
451,61
452,61
453,62
454,60
455,62
456,61
459,61
463,61
463,61
465,61
466,62
468,61
470,62
470,61
469,61
468,61
467,60
467,62
467,60
466,62
465,60
466,61
468,61
469,61
471,61
473,61
473,62
476,61
479,62
482,61
484,62
484,61
486,62
486,61
485,62
484,60
483,62
482,61
481,61
480,60
480,62
480,60
481,62
482,60
483,62
485,60
486,61
489,61
491,61
494,60
497,62
497,60
498,62
497,60
496,62
494,61
492,61
492,61
491,61
491,62
489,61
488,61
489,61
489,60
490,61
491,62
492,61
494,62
495,61
497,62
499,61
500,62
501,61
500,62
498,61
496,62
494,61
492,62
490,60
488,62
487,61
488,61
488,61
488,61
488,61
487,62
487,60
490,62
491,60
493,62
493,60
494,62
495,60
494,61
493,60
491,62
489,60
488,62
487,60
487,62
486,60
486,61
488,61
488,61
489,61
490,62
491,60
493,62
495,60
497,62
498,60
500,61
501,60
500,61
500,60
499,62
497,60
496,62
495,60
494,62
493,60
492,61
494,61
496,61
496,60
498,62
499,62
500,61
502,61
504,61
505,62
508,61
509,62
509,61
508,62
507,61
504,62
504,61
502,62
503,61
503,62
500,61
502,62
503,61
504,62
505,60
507,62
508,61
510,62
511,60
513,62
514,60
514,62
513,61
512,62
510,61
508,62
507,62
505,60
504,62
502,61
502,61
503,61
504,61
504,62
504,61
504,60
504,62
504,61
505,62
504,62
504,61
504,62
503,61
500,61
498,61
496,62
491,61
491,62
489,61
488,62
487,61
484,62
486,61
485,62
486,61
486,62
487,61
488,62
489,61
491,62
490,62
487,62
489,60
487,62
487,60
484,62
483,61
481,62
480,60
479,62
478,60
479,63
479,60
480,62
479,60
480,62
481,61
483,61
485,61
486,62
487,62
487,62
486,62
485,61
483,62
481,60
481,62
479,60
479,62
479,60
479,62
478,60
482,61
483,61
484,62
484,62
483,61
487,62
488,61
490,62
491,61
492,62
491,61
490,62
489,60
487,62
486,61
484,61
483,62
483,61
483,62
484,61
485,62
486,61
487,62
488,60
491,62
493,60
495,62
496,61
497,61
498,62
497,61
497,62
495,61
495,62
493,61
492,61
491,61
492,62
492,60
492,62
492,60
493,62
494,61
495,62
497,62
499,61
500,62
502,61
502,62
503,61
502,62
501,61
499,62
497,61
495,62
495,60
494,62
492,60
492,62
493,61
494,62
494,62
495,62
495,62
496,61
498,62
499,61
500,62
501,60
502,63
501,60
499,62
497,60
496,62
495,61
493,62
493,61
494,62
492,61
