ECG,EDA
531,1
529,1
526,1
521,1
515,1
510,1
505,1
497,1
489,1
487,1
487,2
493,2
498,1
507,2
514,1
521,2
531,2
534,2
536,1
537,1
535,1
533,1
528,1
526,1
522,1
517,1
511,1
502,2
496,1
492,1
492,2
496,2
501,1
507,1
515,1
524,1
530,2
533,2
535,1
535,1
532,1
530,1
529,1
524,1
519,1
515,1
511,1
503,2
495,1
491,1
491,2
495,2
500,1
507,2
513,1
525,2
531,1
532,2
532,1
535,2
534,1
532,1
527,1
522,1
517,1
511,1
508,2
498,2
493,2
490,2
491,2
494,2
496,2
503,2
512,1
522,1
529,1
533,2
532,1
531,1
530,1
528,2
524,1
519,1
515,1
511,1
508,1
501,2
494,1
490,1
489,1
492,2
496,2
506,1
516,1
524,2
531,1
534,2
535,1
536,1
535,1
531,1
527,1
522,1
517,1
511,1
507,1
500,2
494,1
489,1
487,2
491,2
496,1
504,2
512,1
521,1
528,2
531,2
532,1
531,1
531,1
528,1
524,1
519,1
515,1
512,1
508,1
500,1
496,1
492,1
490,2
493,2
497,2
505,1
513,1
523,1
529,1
532,2
531,1
532,1
529,1
528,1
524,1
521,1
516,1
512,1
508,1
501,1
495,1
491,1
491,2
494,2
497,2
504,1
512,1
523,2
530,1
532,1
534,1
535,1
533,1
530,1
527,1
523,1
519,1
514,1
509,1
501,1
495,1
492,1
493,1
498,2
503,2
509,1
518,1
525,2
531,1
535,1
534,1
533,1
531,1
530,1
528,1
525,1
519,1
514,1
511,1
505,1
497,2
493,2
492,2
494,2
499,2
506,2
515,1
521,1
528,1
529,2
531,1
531,1
530,1
529,1
527,2
523,1
518,1
512,1
506,1
498,2
494,1
492,1
491,1
496,2
500,2
508,1
517,1
525,2
531,2
534,2
533,1
534,1
532,1
529,1
526,1
521,1
515,1
512,1
508,2
500,1
494,2
490,1
489,1
494,2
499,2
506,2
515,1
523,2
529,2
532,1
533,1
530,1
530,1
529,1
526,1
520,1
515,1
512,1
508,1
500,1
495,1
492,1
492,1
493,2
498,1
506,2
513,1
522,2
529,1
531,2
531,1
531,1
529,1
527,1
524,1
521,1
519,1
515,1
511,1
502,2
496,1
492,1
492,1
496,2
500,1
506,2
515,1
524,1
531,1
532,2
531,1
531,1
530,1
528,2
526,1
521,1
516,1
512,1
507,1
499,1
494,1
491,1
490,2
492,2
497,2
506,2
513,2
521,2
529,1
532,2
534,1
534,1
532,1
530,1
527,1
523,2
517,1
511,2
507,1
499,1
492,1
488,1
489,1
491,2
497,2
503,2
513,1
521,1
528,2
531,1
532,1
532,1
530,1
528,1
525,1
520,1
516,1
512,1
508,1
500,2
494,1
492,1
493,1
497,2
499,1
506,2
516,1
525,1
532,2
534,1
534,1
533,1
532,1
530,1
527,1
523,1
519,1
513,1
509,1
502,1
497,1
492,1
491,2
494,2
498,1
506,1
515,1
522,1
530,2
533,2
533,1
534,1
532,1
531,1
528,1
525,1
519,1
513,1
507,1
499,2
493,1
492,1
492,1
496,2
500,1
507,1
516,1
525,2
533,2
535,2
533,1
533,1
531,1
527,1
524,1
521,1
516,1
511,1
507,1
497,2
492,1
488,1
488,1
493,2
496,2
505,2
515,1
524,1
531,1
532,1
534,1
534,1
532,1
532,1
527,1
523,1
516,1
512,1
508,2
499,1
494,1
491,1
491,2
496,2
499,2
507,1
515,1
523,2
529,1
533,1
534,1
534,1
532,1
529,1
526,1
521,1
515,1
512,1
507,1
499,2
493,1
490,2
492,1
496,2
501,2
509,2
518,1
527,1
531,1
534,1
534,1
535,1
533,1
531,1
526,1
522,1
517,1
511,1
507,1
501,2
496,1
492,1
493,2
498,2
504,1
511,2
518,1
526,1
532,2
534,2
532,1
531,1
529,1
527,1
525,2
521,1
516,1
511,1
506,1
499,2
496,1
492,1
491,2
494,2
499,2
508,1
517,1
525,1
532,2
534,2
532,1
532,1
530,1
527,1
525,1
522,1
516,1
512,1
507,1
498,2
493,1
491,1
491,2
495,2
498,2
506,1
515,1
522,1
528,1
531,2
533,1
532,1
529,1
526,1
522,2
519,1
515,1
510,1
504,1
497,2
493,1
488,1
490,2
494,2
497,2
507,1
516,1
526,2
532,2
534,2
534,1
533,1
531,1
527,1
524,1
521,1
517,1
513,1
508,1
500,2
496,1
492,2
492,2
495,2
500,2
505,2
515,1
523,1
529,1
531,2
533,1
532,1
530,1
528,2
524,1
521,2
516,1
512,1
506,1
499,1
494,1
491,2
492,1
494,2
499,2
507,1
516,1
524,1
530,1
532,1
531,1
530,1
528,1
526,1
523,1
519,1
514,1
509,1
505,1
498,1
491,1
488,1
490,2
494,2
498,2
505,1
516,1
524,2
532,2
532,2
532,1
531,1
529,1
526,1
524,1
521,1
516,1
512,1
507,1
498,1
494,1
491,1
491,1
496,2
500,2
509,1
519,1
526,2
534,2
536,2
535,1
532,1
532,1
530,1
526,2
522,1
518,1
512,1
507,1
500,2
494,1
492,1
492,2
496,2
499,2
506,1
513,1
521,1
527,1
529,1
531,1
531,1
529,1
525,1
523,1
519,1
514,1
509,1
503,1
496,2
491,1
489,2
491,2
496,2
500,2
510,2
518,2
526,1
532,1
533,1
536,1
534,1
532,1
529,1
526,1
522,1
518,1
514,1
509,1
502,2
496,1
493,2
494,2
498,2
501,1
508,1
518,1
526,2
530,1
531,2
532,1
530,1
528,1
525,1
523,1
519,1
514,1
510,1
505,1
496,1
494,1
490,1
493,1
496,2
500,1
508,2
516,1
524,1
528,1
529,1
529,1
529,1
528,1
526,1
524,1
522,1
518,1
513,2
508,1
500,2
495,1
493,1
493,2
497,2
503,2
511,1
520,1
