ECG,EDA
519,104
518,105
518,104
518,105
517,103
518,105
516,103
516,105
515,103
514,104
515,104
513,104
513,105
512,104
509,105
510,104
506,105
504,105
500,105
496,103
493,105
488,104
484,104
480,105
476,104
472,105
468,103
469,106
470,103
470,105
473,103
478,105
490,105
504,104
519,104
536,105
553,103
572,104
590,105
606,103
624,105
639,103
657,105
674,102
686,104
704,103
718,104
735,103
751,103
767,104
787,103
799,104
808,102
812,104
810,101
806,104
794,102
778,104
759,102
737,103
720,105
698,103
679,105
659,103
639,104
625,103
606,104
591,103
577,104
563,103
553,105
540,103
529,104
519,103
508,104
502,104
492,104
484,104
476,104
470,103
467,105
462,104
457,105
455,103
450,104
448,104
445,105
443,104
440,104
438,105
437,105
437,105
436,105
435,105
433,104
434,105
433,104
434,105
434,104
433,104
435,104
435,105
436,104
436,105
436,104
437,105
436,104
437,106
438,104
438,105
440,104
441,105
443,104
443,105
444,104
447,105
448,105
448,105
450,105
449,104
452,105
452,104
451,105
451,104
450,104
453,104
452,105
452,104
453,105
452,103
455,105
456,104
457,105
457,103
456,104
459,104
459,105
460,104
462,105
462,103
465,105
464,104
465,105
463,105
462,104
464,105
463,104
464,105
464,104
463,105
466,104
466,105
467,104
467,105
467,104
467,104
469,104
471,106
471,105
470,104
472,104
472,105
472,105
472,104
471,104
473,105
472,105
473,104
473,105
472,103
475,105
475,104
476,105
476,103
476,104
479,104
479,105
480,103
481,105
481,104
483,105
482,104
483,105
483,104
483,105
485,104
483,105
483,104
483,104
482,105
484,104
484,105
485,104
485,105
485,103
487,105
486,104
487,105
487,104
488,105
492,104
491,105
491,104
491,105
489,104
490,105
489,105
490,104
489,105
489,104
490,105
491,104
492,106
492,103
493,105
495,104
495,105
496,105
496,105
496,104
499,105
499,104
499,105
500,105
499,104
500,106
499,104
499,105
499,104
499,105
502,104
501,105
502,104
503,105
504,104
508,105
507,104
508,105
507,104
507,105
510,105
510,105
511,105
510,105
508,104
508,104
510,106
510,105
510,105
509,105
510,104
511,105
512,105
512,105
510,103
513,105
512,104
515,105
516,104
515,105
518,104
518,105
519,104
518,105
517,104
518,106
516,104
516,106
516,104
517,104
519,105
519,104
519,105
519,104
519,105
520,104
519,105
519,104
520,105
519,104
519,105
519,105
521,105
520,105
519,105
518,104
517,105
517,104
516,105
513,103
515,105
514,104
515,106
514,103
513,105
516,104
514,105
513,104
512,105
511,104
512,105
510,104
509,105
508,104
506,105
505,104
503,105
503,104
501,105
501,104
503,105
502,104
502,105
504,104
502,105
504,105
502,105
502,104
503,105
502,104
503,106
501,104
501,106
500,104
498,105
499,104
497,105
498,104
498,105
497,104
499,106
498,104
499,107
499,104
499,105
501,105
500,104
501,105
501,104
500,105
502,104
501,105
501,104
501,105
500,104
502,105
501,104
502,105
503,103
503,105
504,104
503,105
504,104
504,105
504,103
505,105
504,103
505,105
505,103
505,105
507,104
506,106
506,104
505,105
504,103
503,104
504,104
505,106
504,104
503,105
505,104
505,105
508,105
508,105
507,104
510,104
509,105
510,104
510,105
510,104
513,105
513,104
513,105
512,104
512,105
512,104
510,105
511,103
510,105
510,103
512,105
511,103
512,105
513,103
514,105
516,104
516,105
517,104
517,105
516,103
518,105
519,104
519,105
517,104
516,105
515,104
515,105
516,104
516,105
515,103
518,105
518,104
519,106
520,104
519,105
522,104
522,105
522,104
522,105
521,104
523,105
521,104
521,105
520,104
519,104
520,105
519,105
518,104
518,105
517,104
520,104
519,105
519,103
519,105
520,103
522,105
521,103
521,105
520,103
520,104
521,103
520,105
520,103
519,104
518,103
519,105
516,103
517,106
516,103
515,104
517,103
517,105
518,104
518,104
516,103
519,105
519,103
519,105
519,103
519,105
520,103
519,105
519,103
518,105
518,103
518,105
517,103
517,105
517,103
516,105
518,103
516,104
516,104
517,104
517,104
519,105
518,103
519,105
519,103
518,104
519,103
519,105
519,103
518,105
517,103
518,105
516,103
517,105
518,103
517,105
519,103
517,105
518,104
518,104
516,103
518,105
517,103
517,105
516,103
515,104
516,103
514,105
513,103
513,105
511,103
512,105
510,103
509,105
508,103
507,104
509,104
508,104
508,104
508,105
507,103
509,105
508,103
509,105
509,103
508,104
510,103
508,105
508,103
507,104
504,103
507,105
505,103
505,104
505,103
503,104
507,103
505,104
507,104
508,104
507,103
511,105
511,103
512,104
512,103
513,104
516,103
515,104
515,103
515,104
515,103
516,105
515,103
515,105
515,103
515,104
518,103
517,105
518,103
518,104
519,103
522,105
521,103
521,105
521,103
521,104
522,103
521,105
520,103
520,104
519,103
519,105
518,103
518,105
517,103
516,104
519,103
517,104
519,104
519,104
519,103
522,105
523,103
523,105
522,103
521,104
523,103
521,105
521,103
521,105
520,103
522,105
